"date_time","ip","port","command","mime_type","file_size","reply_code","reply_msg"
"2020-09-13T12:44:42","68.92.208.49","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/gunicorn/http/.ftpdBUL2Da: Operation not permitted"
"2020-09-13T13:04:05","18.127.107.6","3885","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/tests/test_utils/.ftpdNzu8bx: Operation not permitted"
"2020-09-13T14:33:56","86.172.160.151","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T14:57:21","203.243.37.100","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T15:36:40","222.17.93.246","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/moduleapp/apps/admin/templates/.ftpdA4LXaq: Operation not permitted"
"2020-09-13T16:12:05","17.63.199.54","4970","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/subdomaintestmodule/static/.ftpde854Us: Operation not permitted"
"2020-09-13T16:33:34","141.245.0.12","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T16:37:52","87.250.147.155","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T16:53:10","156.147.173.87","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/flask_newext_package/.ftpdBUL2Da: Operation not permitted"
"2020-09-13T17:00:55","50.34.173.40","4976","STOR","-","-","550","/dept/qdept/static/.ftpd3caYxQ: Operation not permitted"
"2020-09-13T17:25:11","203.243.37.100","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T18:06:21","81.94.180.51","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T19:13:28","255.96.152.192","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/WTForms-1.0.1-py2.7.egg-info/.ftpdBUL2Da: Operation not permitted"
"2020-09-13T19:38:21","147.126.156.230","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T19:44:42","110.218.211.136","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T19:53:25","226.164.121.85","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/celery/tests/functional/.ftpdBUL2Da: Operation not permitted"
"2020-09-13T21:03:40","37.91.136.95","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/Jinja2-2.6-py2.7.egg-info/.ftpdxCfA4y: Operation not permitted"
"2020-09-13T21:12:15","7.127.236.59","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T21:40:26","7.127.236.59","4976","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/tests/test_task/.ftpd3caYxQ: Operation not permitted"
"2020-09-13T21:41:25","111.16.226.93","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/SQLAlchemy-0.7.5-py2.7.egg-info/.ftpdBUL2Da: Operation not permitted"
"2020-09-13T21:45:25","147.126.156.230","39226","RETR","binary","6286","226","Transfer complete"
"2020-09-13T21:54:44","18.127.107.6","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T22:34:51","86.82.198.124","4976","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/dialects/maxdb/.ftpd3caYxQ: Operation not permitted"
"2020-09-13T22:51:10","156.147.173.87","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T23:13:12","147.126.156.230","4295","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/dialects/access/.ftpdA4LXaq: Operation not permitted"
"2020-09-13T23:28:02","49.23.226.253","55780","RETR","text/plain","4","226","Transfer complete"
"2020-09-13T23:28:18","10.138.129.55","4970","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/kombu/utils/.ftpde854Us: Operation not permitted"
"2020-09-13T23:36:48","64.124.18.109","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-13T23:47:23","167.107.132.164","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T02:24:21","248.124.131.190","4970","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/Flask-0.8-py2.7.egg-info/.ftpde854Us: Operation not permitted"
"2020-09-14T02:43:47","167.107.132.164","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T03:44:44","222.17.93.246","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/fields/.ftpdA4LXaq: Operation not permitted"
"2020-09-14T03:48:06","18.127.107.6","3966","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/kombu/transport/django/management/.ftpdxCfA4y: Operation not permitted"
"2020-09-14T04:10:44","203.243.37.100","4379","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/pip-1.1-py2.7.egg/EGG-INFO/.ftpduBnga4: Operation not permitted"
"2020-09-14T05:48:24","138.61.14.205","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T05:49:54","242.23.142.120","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T06:29:08","110.218.211.136","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T06:29:11","110.218.211.136","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T07:12:13","132.204.220.129","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T07:24:12","18.127.107.6","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T08:17:32","98.177.12.123","4295","PASV","-","-","227","Entering Passive Mode"
